Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
1	62	0.5	0.5	3921	4177	41.2157	42.1176		0	2082.26	0.0624371	0.531219
1	63	0.5	0.5	4036	4096	41.7255	41.3529		0	2074.98	0.0236403	0.51182
1	64	0.5	0.5	4002	4053	41.9804	40.8039		0	2069.34	-0.00045185	0.499774
1	65	0.5	0.5	4162	3953	42.8235	40.3725		0	2077.95	0.0747027	0.537351
1	66	0.5	0.5	4149	3950	41.4314	41.2745		0	2066	0.0292971	0.514649
1	67	0.5	0.5	3994	4170	42.2941	41.5882		0	2099.46	0.073356	0.536678
1	68	0.5	0.5	4074	4039	40.9216	41.1373		0	2051.97	0.0113255	0.505663
1	69	0.5	0.5	4015	4144	42.3922	41.0196		0	2086.69	0.0143466	0.507173
1	70	0.5	0.5	3914	4243	42.2157	41.2745		0	2084.8	0.0305141	0.515257
1	71	0.5	0.5	3866	4236	38.1569	45.1373		0	2074.04	0.0478576	0.523929
1	72	0.5	0.5	3880	4210	40.9804	41.451		0	2057.97	0.0957199	0.54786
1	73	0.5	0.5	4107	4033	40.7059	43.0784		0	2093.02	0.0834008	0.5417
1	74	0.5	0.5	4003	4121	43.8431	39.451		0	2083.99	0.0780762	0.539038
1	75	0.5	0.5	3963	4218	38.9412	44.4706		0	2084.44	0.0553748	0.527687
1	76	0.5	0.5	3941	4214	39.1961	44.4118		0	2086.14	0.0680738	0.534037
1	77	0.5	0.5	4057	4041	42.1765	40.902		0	2073.33	-0.0492489	0.475376
1	78	0.5	0.5	4033	4077	42.3922	40.6863		0	2077.02	0.040387	0.520194
1	79	0.5	0.5	3961	4180	41.0784	42.4314		0	2093.8	0.0507468	0.525373
1	80	0.5	0.5	3948	4154	39.2941	43.4902		0	2066.01	0.0898182	0.544909
1	81	0.5	0.5	3815	4266	36.8235	45.7647		0	2053.04	0.0573514	0.528676
1	82	0.5	0.5	3992	4146	39.451	44.1569		0	2088.79	0.0158062	0.507903
1	83	0.5	0.5	4226	3964	40.5882	42.8235		0	2085.25	0.0287544	0.514377
1	84	0.5	0.5	4100	4076	42.5294	41.1765		0	2092.67	0.0340527	0.517026
1	85	0.5	0.5	4228	3925	42.8824	40.2353		0	2078.89	0.0799729	0.539986
1	86	0.5	0.5	4066	4097	43.6078	40.5686		0	2103.77	0.0660397	0.53302
1	87	0.5	0.5	4048	4063	41.2745	41.451		0	2067.49	0.0242604	0.51213
1	88	0.5	0.5	3905	4287	42.0784	41.4902		0	2084.88	0.0713962	0.535698
1	89	0.5	0.5	4243	3902	45.1373	38.4314		0	2084.1	0.0455648	0.522782
1	90	0.5	0.5	4020	4081	40.2745	42.6863		0	2072.3	0.0689625	0.534481
1	91	0.5	0.5	4372	3715	44.7647	38.098		0	2064.72	0.0635606	0.53178
1	92	0.5	0.5	3904	4221	40.8235	42.451		0	2081.67	0.0546045	0.527302
